method,k,seed,inertia,iterations,silhouette,runtime
random,8,13,154.02697420992735,28,0.3351897331044078,0.007572368995170109
random,8,14,151.62485438046127,18,0.33936879899735856,0.00759124499745667
random,8,15,149.3493550861619,18,0.3430050536286543,0.007101811992470175
random,8,16,151.50006287873782,27,0.33514720551379396,0.008015245010028593
random,8,17,165.15001953854636,14,0.32775343762164094,0.004051527997944504
random,8,18,150.5137224245126,22,0.33260123303860933,0.007006640997133218
random,8,19,149.50649972042493,17,0.34166259378497904,0.004912406991934404
random,8,20,153.30422808363613,23,0.325198329567161,0.008303690992761403
random,8,21,158.05348726377508,11,0.32213632637984146,0.0029743420018348843
random,8,22,150.8840679267222,24,0.33825279414518783,0.006395239994162694
random,8,23,153.856575536977,19,0.3397753155311075,0.004855840001255274
random,8,24,153.90159546292344,29,0.33725273532571026,0.00764826699742116
random,8,25,153.15538424707006,24,0.3344490230138527,0.006919922001543455
random,8,26,151.62485438046127,13,0.33936879899735856,0.003693086007842794
random,8,27,160.06758137181004,12,0.3065038997767353,0.003832728005363606
random,8,28,163.41448329100749,14,0.32391708724706963,0.003862765006488189
random,8,29,154.81403130539485,25,0.32632086391786275,0.006730164997861721
kmeans++,3,0,374.39316080554187,17,0.40111831279660515,0.003371651007910259
kmeans++,3,1,374.59995276332586,13,0.40689619211234224,0.0026566430024104193
kmeans++,3,2,374.3859968565502,10,0.40085457456179296,0.0018226679967483506
kmeans++,3,3,374.4336283929615,8,0.40168103855900394,0.0015165609947871417
kmeans++,3,4,374.59995276332586,13,0.40689619211234224,0.0024614699941594154
kmeans++,3,5,374.39316080554187,11,0.40111831279660515,0.0019632680050563067
kmeans++,3,6,374.59995276332586,16,0.40689619211234224,0.0028377249982440844
kmeans++,3,7,374.5499431202966,10,0.4063070015391998,0.0021180770127102733
kmeans++,3,8,374.59995276332586,12,0.40689619211234224,0.0020802700018975884
kmeans++,3,9,374.39316080554187,14,0.40111831279660515,0.0032357099989894778
kmeans++,3,10,374.3859968565502,10,0.40085457456179296,0.0017762159986887127
kmeans++,3,11,374.39316080554187,5,0.40111831279660515,0.000980452008661814
