method,k,seed,inertia,iterations,silhouette,runtime
kmeans++,5,15,285.9078211233208,10,0.33657935469310885,0.002942580991657451
kmeans++,5,16,254.00520677264396,22,0.36490993669621846,0.005161327004316263
kmeans++,5,17,253.6501028625558,15,0.38878940687265234,0.003943414005334489
kmeans++,5,18,253.55603887150073,20,0.38420268620924425,0.005372867992264219
kmeans++,5,19,254.1654737594029,19,0.3722863184143314,0.004689474008046091
kmeans++,5,20,270.1344136357531,8,0.3152375838520525,0.002156513000954874
kmeans++,5,21,262.96295073845386,15,0.39992843462871935,0.003635184999438934
kmeans++,5,22,254.00520677264396,21,0.36490993669621846,0.005405085001257248
kmeans++,5,23,265.1385227528229,29,0.3660218297452659,0.008573002996854484
kmeans++,5,24,257.0928009237033,26,0.3813667989449884,0.0058910079969791695
kmeans++,5,25,253.55603887150073,21,0.38420268620924425,0.004917661004583351
kmeans++,5,26,253.9624253136999,9,0.3659275701245509,0.002258267006254755
kmeans++,5,27,253.55603887150073,17,0.38420268620924425,0.0039021929987939075
kmeans++,5,28,263.0358728748357,20,0.39907230614573747,0.005212732998188585
kmeans++,5,29,268.25607811242264,14,0.31422784650760804,0.0034407510102028027
kmeans++,8,0,153.41224690341886,18,0.3662459937004454,0.005222227002377622
kmeans++,8,1,168.0300443329772,12,0.3398716354415801,0.003819635006948374
kmeans++,8,2,153.39954307814403,15,0.3646743124049761,0.004597720995661803
kmeans++,8,3,153.85289950195732,16,0.36083024659898155,0.004840542009333149
kmeans++,8,4,153.5491287118234,26,0.3669039732240092,0.00944388800417073
kmeans++,8,5,173.36146934594132,11,0.33571121863545594,0.003779130012844689
kmeans++,8,6,169.30752156136037,20,0.3539238513708249,0.005797329999040812
kmeans++,8,7,153.40494878794027,64,0.36622250351090463,0.01920300000347197
kmeans++,8,8,167.55486643302768,22,0.34904717325766615,0.0069287179940147325
kmeans++,8,9,153.3227701863683,21,0.3625941658727045,0.00608937100332696
kmeans++,8,10,169.48802535199914,15,0.3193010625537728,0.004980047000572085
kmeans++,8,11,171.38987594697733,14,0.3176922600463625,0.00494011800037697
kmeans++,8,12,171.0063395664756,35,0.3545325234039852,0.010229296996840276
kmeans++,8,13,153.4104558802182,33,0.3640878275112026,0.010879142995690927
kmeans++,8,14,176.01464359466164,12,0.34903683879556757,0.0037397840060293674
kmeans++,8,15,172.51104445380474,22,0.32060306425241397,0.006322075001662597
kmeans++,8,16,153.39954307814403,20,0.3646743124049761,0.005946392004261725
kmeans++,8,17,171.3723376021058,30,0.3180001928474563,0.009736469000927173
kmeans++,8,18,171.711877684986,16,0.3595358328488782,0.005582091005635448
kmeans++,8,19,203.50527046621343,19,0.3566846744034337,0.0058164229994872585
kmeans++,8,20,169.28151537058392,23,0.3472457972888652,0.007031233995803632
kmeans++,8,21,153.40494878794027,25,0.36622250351090463,0.007292549998965114
kmeans++,8,22,169.03721173425348,22,0.34281145661926443,0.008456239011138678
kmeans++,8,23,169.49893668975187,10,0.32006857542412365,0.003459364001173526
kmeans++,8,24,167.69663351642203,17,0.3487804281573591,0.005192544995225035
kmeans++,8,25,153.55682176715356,26,0.36237609002690613,0.007603309990372509
kmeans++,8,26,168.56067013414457,14,0.32256613686201835,0.004900343992630951
kmeans++,8,27,153.41224690341886,19,0.3662459937004454,0.0063247630023397505
