symbol,avg_daily_return,volatility,n_days,annual_return,annual_volatility
ECL,0.0007771258656571114,0.01197005145458842,251,0.19505859227993494,0.1896412800215161
ED,5.236728106686814e-05,0.01039696336051314,251,0.013144187547783903,0.16471887756745743
EFX,0.0004258262766624982,0.0179091447992706,251,0.10688239544228706,0.28373421423535006
EG,0.0002074490619380723,0.01531597088377139,251,0.05206971454645615,0.2426506130061199
EIX,0.0005796835491296401,0.011099271323648362,251,0.14550057083153967,0.17584552824256486
EL,-0.0021579107624164593,0.027563547925524495,251,-0.5416356013665313,0.436688725220739
ELV,-0.0008764375715149416,0.014667315798867231,251,-0.21998583045025033,0.2323739837818958
EME,0.0032320108125940936,0.019922492132005178,251,0.8112347139611175,0.31563163478999035
EMR,0.0012312137659884856,0.016496095017901398,251,0.3090346552631099,0.26134729549154984
EOG,0.0002476158219651916,0.014248314305212555,251,0.0621515713132631,0.22573575170001606
EPAM,-0.00046539465695997237,0.02763770539236456,251,-0.11681405889695307,0.43786360044897477
EQIX,0.0008016789230827473,0.015543598937069218,251,0.20122140969376956,0.24625691959218382
EQR,0.0007632046333461221,0.01215641307250252,251,0.19156436296987667,0.19259380331702483
EQT,0.0009611943997994173,0.020858281712644314,251,0.24125979434965372,0.33045732994898463
ERIE,0.0010266271122160687,0.017340207844043765,251,0.2576834051662332,0.27472055770679754
ES,-0.00011930535390283869,0.014704342839109381,251,-0.02994564382961251,0.23296060242205527
ESS,0.0007263333886248688,0.013100621920023148,251,0.1823096805448421,0.20755288474877706
ETN,0.001515833144827781,0.017708432632430385,251,0.380474119351773,0.2805543354871364
ETR,0.0018219804934204535,0.01489432319232924,251,0.45731710384853386,0.23597045726689334
EVRG,0.0007946474064193154,0.009916990065076986,251,0.19945649901124818,0.15711467047879313
EW,0.0003131015888700972,0.026271130385421476,251,0.0785884988063944,0.41621298060449974
EXC,0.0003482719889079715,0.010950059730739928,251,0.08741626921590084,0.17348157203230496
EXE,0.0012657892023570387,0.015986045616597822,251,0.3177130897916167,0.25326659327365414
EXPD,-0.00042187324067793225,0.012397500262534432,251,-0.10589018341016099,0.1964133427306935
EXPE,0.0011848849313839188,0.023504181707869228,251,0.2974061177773636,0.3723762693793606
EXR,-8.656568970025479e-05,0.015928830737680727,251,-0.021727988114763952,0.2523601391188598
F,-0.00028231843290717586,0.022727041347698308,251,-0.07086192665970115,0.3600640505707521
FANG,0.0005005323090311307,0.017792228844700147,251,0.1256336095668138,0.2818819171617916
FAST,0.0006888602941454226,0.014798046467557283,251,0.17290393383050107,0.2344451470882947
FCX,-0.00010794024754102292,0.022003931827944353,251,-0.02709300213279675,0.3486078412601966
FDS,0.00027398180130353076,0.013295588332298151,251,0.06876943212718623,0.2106417336251001
FDX,0.0006948219742856919,0.018917835671889243,251,0.17440031554570867,0.2997148830699935
FE,0.000460166660513957,0.009430980156681285,251,0.1155018317890032,0.1494148254546541
FFIV,0.0015461449516925103,0.016244825241557626,251,0.3880823828748201,0.25736643357150457
