symbol,avg_daily_return,volatility,n_days,annual_return,annual_volatility
DE,0.0006364596912019395,0.01743638067436882,249,0.15847846310928293,0.27514144614062436
DELL,0.0009136500549590539,0.03242821101248728,249,0.22749886368480443,0.5117085386214792
DG,0.002649671138926329,0.02427565850589646,249,0.6597681135926559,0.38306342996667125
DGX,0.0007373422413105883,0.014379186932350678,249,0.18359821808633647,0.22689974260019696
DHI,0.0005105203082358641,0.024003573339174408,249,0.12711955675073017,0.37876999845451326
DHR,0.00022379532197513183,0.02073572276703491,249,0.055725035171807824,0.32720418620360153
DIS,0.000324827663009507,0.018808914313183347,249,0.08088208808936725,0.2967996616449009
DLR,-0.00026971701303371196,0.0172292511379057,249,-0.06715953624539428,0.2718729971852357
DLTR,0.002278979905132364,0.027166507093724757,249,0.5674659963779587,0.428680251248732
DOC,-0.0005252780297145464,0.014992759124672747,249,-0.13079422939892205,0.23658174848547386
DOV,0.0003976319037010413,0.017395855804440846,249,0.09901034402155928,0.27450197447933894
DOW,-0.0013393483945578078,0.03092446210651038,249,-0.33349775024489414,0.4879797811258906
DPZ,3.2696733619579697e-05,0.016773577130418896,249,0.008141486671275344,0.264682582630172
DRI,0.00019002568364570536,0.015780738217841435,249,0.04731639522778064,0.24901584884563124
DTE,0.00044700795516614266,0.010901505304461365,249,0.11130498083636953,0.1720228521385941
DUK,0.0005350778143698177,0.010682544599380657,249,0.1332343757780846,0.16856771049142671
DVA,-0.0009213016082829748,0.019326346303310704,249,-0.22940410046246074,0.30496460072840803
DVN,0.0008282368470536511,0.02634901835037161,249,0.2062309749163591,0.4157804964630096
DXCM,-0.00027225513802298676,0.028317580964795162,249,-0.0677915293677237,0.4468438905621678
EA,0.0015812356997715702,0.02033094835492964,249,0.39372768924312096,0.32081695371612334
EBAY,0.0016915522941977263,0.0238345984432383,249,0.4211965212552339,0.37610361957132765
ECL,0.0006407341713103856,0.013029480525885801,249,0.159542808656286,0.20560173474665747
ED,0.0006540893197155036,0.012547050993661005,249,0.1628682406091604,0.1979891251325306
EFX,-0.0003035734249545355,0.022489566262899236,249,-0.07558978281367934,0.3548793697619524
EG,-9.228843190013563e-05,0.01635938016285071,249,-0.022979819543133773,0.25814666472541464
EIX,-0.0006765399252524375,0.02209524754454677,249,-0.16845844138785693,0.34865712533898574
EL,0.0019412999976644357,0.030603071611026746,249,0.4833836994184445,0.4829083246490768
ELV,0.00017384531551423122,0.022918478255296252,249,0.04328748356304357,0.3616474868419291
